danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name
0.782,0.972,5,-7.542,0,0.148,0.0255,1.30E-05,0.369,0.557,133.967,audio_features,1YFTLSuSQ0odUosJIVTvOC,spotify:track:1YFTLSuSQ0odUosJIVTvOC,https://api.spotify.com/v1/tracks/1YFTLSuSQ0odUosJIVTvOC,https://api.spotify.com/v1/audio-analysis/1YFTLSuSQ0odUosJIVTvOC,326839,4,Ishq Kaminaa
0.696,0.888,0,-2.285,0,0.0336,0.0592,0.000185,0.131,0.676,120.976,audio_features,7pCE1BHlNVbvIuqUEOGAj5,spotify:track:7pCE1BHlNVbvIuqUEOGAj5,https://api.spotify.com/v1/tracks/7pCE1BHlNVbvIuqUEOGAj5,https://api.spotify.com/v1/audio-analysis/7pCE1BHlNVbvIuqUEOGAj5,214067,4,Bhool Ja
0.621,0.704,7,-5.293,0,0.0236,0.101,0,0.185,0.366,99.942,audio_features,4kO9vFarqUPNwlgFnVNgVh,spotify:track:4kO9vFarqUPNwlgFnVNgVh,https://api.spotify.com/v1/tracks/4kO9vFarqUPNwlgFnVNgVh,https://api.spotify.com/v1/audio-analysis/4kO9vFarqUPNwlgFnVNgVh,291240,4,Tanha Dil
0.83,0.77,9,-4.135,0,0.112,0.483,1.45E-06,0.127,0.927,99.99,audio_features,5VG9YmTLrTuhOlhWYDdI8v,spotify:track:5VG9YmTLrTuhOlhWYDdI8v,https://api.spotify.com/v1/tracks/5VG9YmTLrTuhOlhWYDdI8v,https://api.spotify.com/v1/audio-analysis/5VG9YmTLrTuhOlhWYDdI8v,216453,4,Sexy Mama
0.758,0.918,7,-2.487,1,0.108,0.00085,0.000154,0.0619,0.721,98.071,audio_features,6dWQ9E5mFjQZA7ujh3wd2Z,spotify:track:6dWQ9E5mFjQZA7ujh3wd2Z,https://api.spotify.com/v1/tracks/6dWQ9E5mFjQZA7ujh3wd2Z,https://api.spotify.com/v1/audio-analysis/6dWQ9E5mFjQZA7ujh3wd2Z,93760,4,Ari Ari (Part 1)
0.831,0.728,8,-4.625,1,0.0459,0.0865,0,0.113,0.896,109.977,audio_features,0NoNwbg1fnrb3DHCZ8We6q,spotify:track:0NoNwbg1fnrb3DHCZ8We6q,https://api.spotify.com/v1/tracks/0NoNwbg1fnrb3DHCZ8We6q,https://api.spotify.com/v1/audio-analysis/0NoNwbg1fnrb3DHCZ8We6q,212653,4,Rock Tha Party
0.808,0.818,0,-6.991,1,0.0938,0.0283,2.50E-05,0.288,0.625,105.018,audio_features,1vr7wUhTzxWuiCOEtt7qxs,spotify:track:1vr7wUhTzxWuiCOEtt7qxs,https://api.spotify.com/v1/tracks/1vr7wUhTzxWuiCOEtt7qxs,https://api.spotify.com/v1/audio-analysis/1vr7wUhTzxWuiCOEtt7qxs,277525,4,Dooba Dooba Rehta Hoon
0.73,0.857,0,-8.441,0,0.0606,0.0169,0.00479,0.175,0.935,115.015,audio_features,25FOlk17vyCoZoEin3HCPu,spotify:track:25FOlk17vyCoZoEin3HCPu,https://api.spotify.com/v1/tracks/25FOlk17vyCoZoEin3HCPu,https://api.spotify.com/v1/audio-analysis/25FOlk17vyCoZoEin3HCPu,224280,4,Ada (Remix)
0.661,0.936,9,-4.852,0,0.0479,0.00228,0.0547,0.0996,0.241,130.031,audio_features,4ANBrIly3md24kB2GKOrqx,spotify:track:4ANBrIly3md24kB2GKOrqx,https://api.spotify.com/v1/tracks/4ANBrIly3md24kB2GKOrqx,https://api.spotify.com/v1/audio-analysis/4ANBrIly3md24kB2GKOrqx,363413,4,Kya Koob Lagti Ho
0.682,0.838,1,-7.277,1,0.0721,0.000655,0.725,0.0583,0.808,129.979,audio_features,5yjEiBhyqHDDFvQmEOc398,spotify:track:5yjEiBhyqHDDFvQmEOc398,https://api.spotify.com/v1/tracks/5yjEiBhyqHDDFvQmEOc398,https://api.spotify.com/v1/audio-analysis/5yjEiBhyqHDDFvQmEOc398,303507,4,Baras Ja
0.703,0.934,0,-5.684,0,0.0332,0.0447,0.0893,0.0584,0.82,120.036,audio_features,6529TCR5Znq4SUFF1K6Yhu,spotify:track:6529TCR5Znq4SUFF1K6Yhu,https://api.spotify.com/v1/tracks/6529TCR5Znq4SUFF1K6Yhu,https://api.spotify.com/v1/audio-analysis/6529TCR5Znq4SUFF1K6Yhu,247453,4,Aadat
0.62,0.899,8,-6.57,0,0.0376,0.00848,0.413,0.217,0.881,119.997,audio_features,2Wi9cUPzDJ7luV2COdzAQb,spotify:track:2Wi9cUPzDJ7luV2COdzAQb,https://api.spotify.com/v1/tracks/2Wi9cUPzDJ7luV2COdzAQb,https://api.spotify.com/v1/audio-analysis/2Wi9cUPzDJ7luV2COdzAQb,285360,4,Who Lamhe
0.727,0.966,2,-5.228,1,0.0368,0.225,0.00874,0.165,0.902,128.986,audio_features,5WmEz1wvZY9zBlFSjXVBWL,spotify:track:5WmEz1wvZY9zBlFSjXVBWL,https://api.spotify.com/v1/tracks/5WmEz1wvZY9zBlFSjXVBWL,https://api.spotify.com/v1/audio-analysis/5WmEz1wvZY9zBlFSjXVBWL,225880,4,Bin Tere Sanam
0.687,0.735,7,-4.922,1,0.0309,0.00112,0.152,0.0532,0.42,127.994,audio_features,0A4ZbRheBaq9vZwPS8cyZx,spotify:track:0A4ZbRheBaq9vZwPS8cyZx,https://api.spotify.com/v1/tracks/0A4ZbRheBaq9vZwPS8cyZx,https://api.spotify.com/v1/audio-analysis/0A4ZbRheBaq9vZwPS8cyZx,347000,4,LIYA LIYA CHURA LIYA PART-2 (YAADON KI BARAAT) - RECREATED
0.695,0.804,2,-5.692,0,0.0446,0.0527,0.00177,0.0652,0.695,124.972,audio_features,39otBBHIl1cKqpIqihG20c,spotify:track:39otBBHIl1cKqpIqihG20c,https://api.spotify.com/v1/tracks/39otBBHIl1cKqpIqihG20c,https://api.spotify.com/v1/audio-analysis/39otBBHIl1cKqpIqihG20c,331280,4,DUM MARO DUM (HARE RAMA HARE KRISHNA) - RECREATED
0.672,0.808,7,-4.658,1,0.0323,0.00636,0.0813,0.334,0.533,127.976,audio_features,55sLyn4oUwCRGpwiLwOUyr,spotify:track:55sLyn4oUwCRGpwiLwOUyr,https://api.spotify.com/v1/tracks/55sLyn4oUwCRGpwiLwOUyr,https://api.spotify.com/v1/audio-analysis/55sLyn4oUwCRGpwiLwOUyr,215720,4,LIYA LIYA - CHURA LIYA PART-1 (YAADON KI BARAAT) - RECREATED
0.761,0.475,7,-13.03,1,0.0455,0.381,0.124,0.101,0.464,98.035,audio_features,3fmaa2vvi8kq1LSX4M2btK,spotify:track:3fmaa2vvi8kq1LSX4M2btK,https://api.spotify.com/v1/tracks/3fmaa2vvi8kq1LSX4M2btK,https://api.spotify.com/v1/audio-analysis/3fmaa2vvi8kq1LSX4M2btK,224493,4,O Sanam
0.696,0.869,9,-3.766,1,0.0648,0.159,0.000412,0.0563,0.777,93.025,audio_features,1FIUPudP2bHpn7f48KpHGK,spotify:track:1FIUPudP2bHpn7f48KpHGK,https://api.spotify.com/v1/tracks/1FIUPudP2bHpn7f48KpHGK,https://api.spotify.com/v1/audio-analysis/1FIUPudP2bHpn7f48KpHGK,323933,4,Ultimate Bollywood Workout - Vol 1
